BuyerID,FullName,Address,SSN,PhoneNumber,Email,IncomeBracket,AnnualIncome,NetWorth,TotalDebt,CreditScore,DesiredPriceRange_Min,DesiredPriceRange_Max,PreApprovedAmount
21ab5f4a-7c3e-424d-94c4-9101c86f95b0,Renee Schultz,"61931 Sheila Drive, West Windsor, NJ 08682",104-32-2523,4094872927,williamreeves@example.org,High,200270,591529,46611,689,948831.0,1762114.0,1362903
a1bb0184-30f5-4e8b-b555-f1464b5f442e,Melissa Villa,"1250 Brown Passage, South Brunswick, NJ 07678",233-62-9106,895-411-0250,maria29@example.net,High,249878,395486,96696,731,548229.0,1018140.0,1479149
7572e760-dc65-40ff-bd76-f18b9254b1e9,Jeffrey White,"9268 Jermaine Flats Suite 330, Edison, NJ 08448",203-39-1633,355.830.8260x42980,pennywilliams@example.org,Low,59492,71704,58769,706,450000.0,450000.0,431013
2943bc93-17cc-4814-923e-9e026afe87a4,Carla Dominguez,"3466 Timothy Plains, Piscataway, NJ 07618",425-36-4810,878.680.5292x4629,turnerhannah@example.net,Medium,87614,240438,49888,702,450000.0,658650.0,646525
3c755563-713e-4ace-ac8b-98d4282a6b10,Stephanie Rodriguez,"042 Tammy Common, New Brunswick, NJ 07962",559-80-5531,4657248740,jamesbutler@example.org,Medium,119295,221465,53514,812,450000.0,574766.0,971616
bfedad49-c931-4f47-91b4-edc935aa4990,Melissa Bryant,"362 Monique Unions Suite 019, West Windsor, NJ 08094",392-69-1392,794-819-0982x5966,yharrison@example.org,Medium,141471,68829,75223,806,450000.0,585291.0,1206910
507776ab-81c3-45e9-8f43-1b5b0f93adc5,Joe Cooper,"758 Hernandez Green, Montgomery, NJ 07912",668-78-3338,986.630.7670x61872,fitzgeraldmichael@example.com,Medium,103909,345608,70594,795,450000.0,722518.0,720968
709150d0-1cbf-4761-a973-6c9522a22891,Dana Flynn,"0252 Lamb Isle Apt. 677, Princeton, NJ 07164",447-20-5925,610.318.0241x0990,davisedward@example.net,Medium,101263,249139,50607,825,483013.0,897025.0,893518
f0a08113-0754-4dec-ba63-f50fdda8baed,Jeremy Harris,"728 Stacy Meadow Suite 355, Woodbridge, NJ 08587",446-83-3592,580-956-4052,janetthompson@example.net,High,207871,671977,105348,753,729287.0,1354390.0,1559787
f0306194-e74b-4e3d-9374-008153ce0107,James Thomas,"92429 Valerie Street, South Brunswick, NJ 07921",617-70-9219,(488)584-2250x27162,davidmiller@example.org,Medium,102124,235841,44795,684,460895.0,855948.0,689661
f8d0d083-a2c6-403b-999c-9fce55b18eb6,Jennifer Bautista,"3545 Jason Via Apt. 342, Hillsborough, NJ 07246",819-50-8235,001-970-622-6776x70473,jenniferhouse@example.org,Low,59204,81420,38394,584,450000.0,471305.0,411351
d6d005d3-35b5-4647-a3a5-699a2c29cfbc,Samantha Foley,"7342 Murphy Plains Suite 539, East Brunswick, NJ 07251",413-72-0486,4777580236,carlmoore@example.com,Medium,123154,358621,65753,489,450000.0,497750.0,612138
e3e09f19-bca3-47ce-bc6b-e8bc5b1f3e70,Desiree Walker,"7550 Brenda Neck Apt. 916, Hopewell, NJ 08776",687-10-6648,+1-793-523-3243x13994,cpeterson@example.com,Medium,100435,313290,38029,603,450000.0,561151.0,622358
c37f803d-4854-4808-ba2d-30cd3d9b2852,Michael Schneider,"136 Michael Summit Suite 630, Piscataway, NJ 07922",845-54-6889,443-416-4163,jacob82@example.com,Medium,92977,315330,23317,500,450000.0,718619.0,564921
