TranscriptID,CallDateTime,BuyerID,BrokerName,MortgageBankerName,TranscriptText
438f3f08-9f7f-4302-bcc0-b1c348b90e87,2024-04-27 13:16:46.934386,396656e4-4336-48af-93a3-aa9a37a172b2,Angela Wilkinson,William Colon,"William Colon: Hi Jeffrey, this is William Colon following up on the property you saw yesterday—do you think 4601 Davis Crescent in Montgomery fits what you're looking for?  
Jeffrey Ruiz: Hi William, yes, I really like the place and want to move forward; my full name is Jeffrey Ruiz and my SSN is 464-11-7980 for the pre-approval process.  
William Colon: Great, Jeffrey, I have your address listed as 4601 Davis Crescent, Montgomery, NJ 07502; I'll start the paperwork and get back to you with the next steps shortly."
8230d959-a506-4094-8280-668570120aa2,2024-04-06 20:25:40.447627,dc7c7afa-fde3-4428-ae67-60ce88e9dc7c,Lawrence Curtis,Ralph Ortiz,"Ralph Ortiz: Hi Lisa, before we proceed with your loan application, can you please confirm your full Social Security number for me?  
Lisa Roberts: Sure, it's 404-92-6496.  
Ralph Ortiz: Great, and your current address is 0625 Laura Drives, Bridgewater, NJ 08172, correct?  
Lisa Roberts: Yes, that's correct."
12eb9585-1213-4052-9f5a-a9596a348d53,2023-12-25 14:55:26.193998,be342d36-9b1a-4923-b9c3-74676f2bd575,Anthony Davis,Robert Sandoval,"Anthony Davis: Hi Christopher, this is Anthony Davis following up on the property we toured yesterday.  
Christopher Gonzalez: Hi Anthony, thanks for calling—I'm Christopher Gonzalez and wanted to confirm that my SSN is 324-79-8635 for the application process.  
Anthony Davis: Got it, Christopher, and I have your address as 72382 Jason Lights, Bridgewater, NJ 07658; I'll start preparing the paperwork."
81fa25af-9c20-41a0-ab17-0083d4b99164,2023-05-08 22:20:15.481882,81f264cb-4508-4677-b5d5-81bd8d7d9c70,Martha Wiggins,Elijah Hernandez,"Martha Wiggins: Hi Patricia Walker, based on your income of $255,060 and the details you provided, including your address at 8297 Walter Summit Apt. 189, Piscataway, NJ 07159, current mortgage rates are around 3.75%. Patricia Walker: Thank you, Martha. Just to confirm, do you need my full SSN, 034-62-1465, to proceed with a formal pre-approval?  
Martha Wiggins: Yes, Patricia, having your SSN helps us get the most accurate rate and expedite your application."
a854f271-496f-4629-8693-e051efa52d27,2023-10-01 22:44:52.721801,2f60a81f-2a92-4662-ae00-6b7bdd59448c,Robert Watts,Amy Fisher,"Amy Fisher: Hi Ashley, to move forward with your mortgage application, I'll need your recent pay stubs, bank statements, and a copy of your ID showing your full name and SSN 187-55-6140 for verification.  
Ashley Black: Sure, Amy, I can send those documents over; my address is 29255 Breanna Dale, East Brunswick, NJ 08839 if you need to mail anything.  
Amy Fisher: Perfect, Ashley, once I receive everything, we can proceed with underwriting right away."
ffca7214-65a1-41d9-af1b-1d92005c06a5,2023-09-08 21:33:31.636003,e3327b60-e014-44d4-a1c6-508c2412ac02,Theresa Martinez,Brian Ortiz,"Theresa Martinez: Hi Gerald, this is Theresa Martinez calling to schedule a viewing for the house priced at $1,100,117.  
Gerald Pierce: Hi Theresa, thanks for reaching out. I’m Gerald Pierce, and I live at 2722 Michelle Estate, Hillsborough, NJ 07302.  
Theresa Martinez: Great, Gerald. Could you please confirm your SSN for the paperwork?  
Gerald Pierce: Sure, it’s 338-07-3350. Looking forward to the tour!"
a5012502-dbfc-477d-8562-e0b6a2251b64,2024-12-21 13:31:55.046163,f160ee7c-74fb-4f92-b414-4a2062bb464c,Sara Sheppard,William Colon,"Sara Sheppard: Hi Jerome, I have the property at 123 Maple Street priced at $1,078,245 ready for a viewing; would you like to schedule a time?  
Jerome Ferguson: Yes, that sounds great, Sara. Just to confirm, my full name is Jerome Ferguson, and I live at 60673 Kim Groves Apt. 724, Hillsborough, NJ 07038.  
Sara Sheppard: Perfect, Jerome. Could you also please provide your SSN for the application process?  
Jerome Ferguson: Sure, it’s 794-24-5604. Looking forward to seeing the house!"
f4d808eb-f24d-4da8-b6b8-aae7cde41adc,2023-12-17 18:51:56.187683,64b7ef62-448b-44c3-9db5-24ab379d68f8,Mr. Michael Wagner,Joanna Evans,"Joanna Evans: Hi Albert, this is Joanna Evans calling to schedule a viewing for the house priced at $450,000.  
Albert Lewis: Great, Joanna. I’m available this Thursday; just to confirm, my address is 25979 Olivia Drives, Bridgewater, NJ 08582.  
Joanna Evans: Perfect, Albert, and can you please verify your Social Security number for the appointment?  
Albert Lewis: Sure, it’s 012-09-1891. Looking forward to the tour!"
10ffe74d-fdf3-4a23-90ba-0bc0ca761633,2023-09-01 22:32:03.024656,da3ef65f-ce39-4bc1-a7fb-1bd9a3418f2a,Thomas Herrera,Michael Hansen,"Michael Hansen: Hi Matthew, this is Michael Hansen calling to confirm your interest in scheduling a viewing for the property priced at $640,171.  
Matthew Galloway: Yes, Michael, that sounds great; my full name is Matthew Galloway, SSN 828-13-2918, and I currently live at 58097 Gonzales Branch Suite 494, West Windsor, NJ 08514.  
Michael Hansen: Perfect, I'll set up the appointment and send you the details shortly."
b3536a0c-b964-4abb-bf57-0b1770e8baea,2023-07-27 16:31:40.720690,810cc8e8-1a6d-468c-8dd8-484e06e5955f,Joshua Alvarez,Charles Castillo,"Joshua Alvarez: Hi Stacy, this is Joshua Alvarez following up after the showing. Did you have any questions about the property at 536 Farrell Station, South Brunswick?

Stacy Ruiz: Hi Joshua, thanks for calling. I’m definitely interested, but I’ll need to provide my full details to start the application—my full name is Stacy Ruiz, SSN 659-41-0852, and I live at 536 Farrell Station, South Brunswick, NJ 08748.

Joshua Alvarez: Perfect, Stacy, I’ll send over the paperwork so we can get started right away."
28d6cc36-4e77-4386-92db-7b8e732e3288,2023-04-22 11:50:29.743386,2a590efe-95da-47c1-92eb-67b6d3466bfe,Joshua Alvarez,Amy Fisher,"Amy Fisher: Hi Yvette, this is Amy Fisher calling to confirm your pre-approval amount of $1,181,407 for your new home.  
Yvette Roy: Thanks, Amy. Just to verify, my details are Yvette Roy, Social Security number 756-18-2553, and my current address is 6721 Carter Drive, Hopewell, NJ 07181, correct?  
Amy Fisher: That's right, Yvette, everything looks good on our end to move forward."
5f627c47-edc3-4b51-9c8e-2973f15e2a7d,2024-04-22 12:48:03.121868,c743cd98-aae1-4a5c-a3ed-45510520269d,Aaron White,Michael Hansen,"Michael Hansen: Hi Lauren, based on your income of $135,510 and your address at 01264 Amy Isle Apt. 778 in Franklin Township, NJ, current mortgage rates for you would be around 3.75%.  
Lauren Hogan: That sounds good, Michael. Do you need my full SSN, 011-47-9155, to proceed with the pre-approval?  
Michael Hansen: Yes, Lauren, having your SSN helps us run the credit check and finalize your rate options."
212bf35e-329b-4719-ae67-0ab5eef3e6c6,2024-02-18 00:28:57.778921,fe8fab95-8e02-4e45-8b41-5c210834cd61,Amber Glenn,Amy Fisher,"Amber Glenn: Hi Michelle, this is Amber Glenn following up to schedule a viewing for the $756,133 property; does Thursday at 3 PM work for you?  
Michelle Lee: That works great, Amber. Just to confirm, my full address is 2082 Burgess Overpass Apt. 353, Plainsboro, NJ 08441, and my SSN is 037-22-1576 for the application.  
Amber Glenn: Perfect, Michelle—I'll send you the details shortly and look forward to meeting you Thursday."
f93a43d4-1493-4c99-bc15-2209e0125734,2025-02-26 00:36:53.204888,c43a35e5-40d6-43c8-aadc-79ff951ff97d,Ryan Dean,Amy Fisher,"Amy Fisher: Hi Joyce, this is Amy Fisher from Maple Mortgage; I wanted to confirm a viewing for the property priced at $3,435,423.  
Joyce Beck: Hi Amy, yes, that works for me. Just to confirm, my details are Joyce Beck, SSN 071-75-4222, and I live at 811 Jennifer Freeway, Princeton, NJ 07582.  
Amy Fisher: Perfect, I’ll schedule the appointment and send you the details shortly."
5d25958c-8211-4856-8bf0-f6ba04f26c30,2023-05-28 01:21:54.931807,c2f2947f-370b-4f56-94b3-7d33ed748a22,Angela Wilkinson,Allison Hamilton,"Angela Wilkinson: Hi Alexis, this is Angela Wilkinson from Premier Realty; I wanted to confirm if you’re available to view the house at 507 Maple Drive, priced around $507,412, this Saturday.

Alexis Smith: Hi Angela, yes, Saturday works for me. Just to confirm, my full name is Alexis Smith, and I live at 84259 Allen Spring, Franklin Township, NJ 07702.

Angela Wilkinson: Perfect, and can you please verify your SSN for the appointment records?

Alexis Smith: Sure, it’s 244-38-1125. Looking forward to the viewing!"
6900eeae-ef23-4b2d-bbab-1e7a0ff47943,2024-01-30 11:58:21.641449,51eda731-2c06-46b7-922b-b179662c8de4,Robert Watts,Allison Hamilton,"Robert Watts: Hi Michelle, this is Robert Watts following up on the showing at 78923 Johnson Divide Apt. 669—did you have any questions or want to move forward with an offer?  
Michelle Hatfield: Thanks for calling, Robert. I’m interested but need to confirm some details; my SSN is 161-54-8425 for the application, and my current address is 78923 Johnson Divide Apt. 669, Hopewell, NJ 07621.  
Robert Watts: Great, Michelle, I'll prepare the paperwork and get back to you shortly."
8c6bd4f3-d658-4c34-932c-e39c04d2dc19,2023-08-15 09:18:36.472106,0e4a0388-e53c-4a4a-8d63-6b73160851d2,Joshua Alvarez,Eric Foster,"Joshua Alvarez: Hi Angela, before we proceed with your loan application, can you please confirm your full name and SSN for verification?  
Angela Wilson: Sure, it’s Angela Wilson and my Social Security number is 503-71-9489.  
Joshua Alvarez: Great, and your current address is 934 Medina Ways Suite 386, East Brunswick, NJ 08211, correct?  
Angela Wilson: Yes, that’s correct."
536ecd14-e220-4c8f-9054-e0e6c29c30d0,2025-01-22 22:40:25.996350,747ac9b1-e100-49bf-8d02-e3e88d8da496,Lawrence Curtis,Eric Foster,"Lawrence Curtis: Hi Renee Brooks, based on your income of $93,379 and your address at 403 Thomas Trail, Edison, NJ 07639, current mortgage rates are hovering around 6.5%.  
Renee Brooks: Thanks, Lawrence. Do you need my SSN, 673-08-5656, to provide a more specific rate?  
Lawrence Curtis: Yes, with your SSN, I can get a precise quote and start the pre-approval process for you."
0e54d88b-b16c-4bbd-8661-0a3431f871b0,2024-09-06 06:00:56.183280,644a2a95-3b1d-4505-bd66-e7948c0f6035,Aaron White,Allison Hamilton,"Allison Hamilton: Hi Edward, before we proceed with your loan application, could you please confirm your full Social Security Number for verification?  
Edward Thomas: Sure, it's 696-69-1571.  
Allison Hamilton: Thank you, and can you also verify your current address as 10513 Chapman Gateway, New Brunswick, NJ 08885?  
Edward Thomas: Yes, that's correct."
