SaleID,HouseID,BuyerID,SellerFullName,SellerAddress,ListingPrice,SalePrice,SaleDate,SaleCategory,SaleDetails,Buyer_AnnualIncome,Buyer_NetWorth,Buyer_TotalDebt,Buyer_CreditScore,House_Address,House_Bedrooms,House_Bathrooms,House_SquareFootage,House_YearBuilt,House_PropertyType
eef141ba-64a8-4381-9700-02438c89ff1f,6c4d0298-7b19-4121-9858-30ca340ee3e8,f7aca9c5-93e1-4f67-9f57-63efa39b5d14,Patricia Leonard,"886 Smith Branch Suite 100, Woodbridge, NJ 07366",500000,476823,2020-12-17,Normal,Standard transaction.,120222,42588,29812,566,"4674 Greene Bridge, West Windsor, NJ 08438",3,4.0,2893,2003,Condo
675805c4-4bac-4665-8b63-9d033a016059,4e136057-584a-4f14-98b3-9f89f74e35fa,bd8cfad2-1fc0-4bcd-9c2f-3af73662cbb4,Laura Mcdonald,"936 Jennifer Turnpike, West Windsor, NJ 08683",1393475,1474901,2021-04-06,Normal,Standard transaction.,244273,1539755,100098,802,"3455 Amy Ville, Hillsborough, NJ 07012",6,3.5,3829,2025,Multi-Family
668eb460-ab6b-486c-8603-fa2d9222a017,c1d67aaa-8027-4fa4-99c6-89f80e903f0d,1b5ca24e-b64c-4200-9088-ebd1ee836891,Ernest Baker,"660 Rose Parks Suite 657, South Brunswick, NJ 07208",899735,866344,2022-12-14,Normal,Standard transaction.,139858,343806,76826,628,"78027 Anna Shore, West Windsor, NJ 08589",2,3.0,2747,1949,Condo
1db2b2d6-fec6-4d26-a9ba-1b4fc5ca4552,5bc2ca6f-5c86-435d-8bd4-1aaa9f89c083,c803adf9-bfec-43e6-88b6-aa8090ab3cb3,Marissa Knox,"2202 Kendra Shore Suite 980, Edison, NJ 08293",1400677,1385590,2021-06-11,Normal,Standard transaction.,113362,230300,21782,650,"02196 Katrina Vista, New Brunswick, NJ 07994",6,4.0,4556,1958,Single Family
632f6f59-6cf5-49f9-a561-33354ec57cc7,8074c048-3fe8-4aa6-b4c4-5270fad7aab0,05acc630-4adf-4052-ac38-0964bb45583e,Michael Martinez,"73084 Nguyen Crescent, West Windsor, NJ 08894",884047,827077,2021-04-17,Normal,Standard transaction.,101706,379999,44032,733,"2087 Xavier Squares Suite 393, Piscataway, NJ 08656",4,4.5,3064,1966,Townhouse
1cf2145d-cd48-4813-a33e-dd0db8e2d979,0117058f-8868-4fdb-b0bb-772c36076853,5f8237a0-5fc7-4fda-bd7f-ada18fc9ba34,Maria Ramsey,"0837 Robert Forge Suite 124, Lawrenceville, NJ 08593",1193238,1254137,2023-06-30,Normal,Standard transaction.,72183,74723,64130,602,"104 Gonzales Mount Apt. 625, Bridgewater, NJ 08346",5,5.5,6067,1992,Single Family
77b560e6-239a-4d89-9001-1588951efbe7,232267a6-156f-4192-b481-503e3f884ad1,ddfdab9b-c3c3-4ff1-8fbe-cc75bd94a63c,Andrew Huynh,"5384 Clark Turnpike, East Brunswick, NJ 08980",2599124,2391568,2022-10-04,Job Loss,Forced sale due to unexpected job loss and financial hardship.,132139,323554,66576,606,"95834 Hill Pines, Lawrenceville, NJ 08758",6,4.0,5554,2002,Single Family
460f9d29-b758-4a1b-9570-79a3a24b063f,bac0fbd6-ecc5-4a54-8f00-bf8d91829a19,402bf77f-8ef9-4b66-9a75-bd3ca2614d2d,Mary Fernandez,"209 Morgan Manor, Hopewell, NJ 07287",1749654,1659516,2023-04-15,Normal,Standard transaction.,137553,421655,77856,656,"405 Maria Vista, Hopewell, NJ 08796",5,4.5,4363,1989,Single Family
44bdbb83-9cb3-4e0f-b832-61ec7921237c,1bf8ba9e-f5a3-4a2b-9c47-9f5188d81f1d,050ee9a6-0459-4dd1-9087-fdb24019fb6d,Taylor Holloway,"2142 Christine Vista Apt. 429, Bridgewater, NJ 08125",1979340,1760133,2022-03-02,Job Relocation,Seller relocated for a new job opportunity in Port Thomas.,139901,376227,59613,650,"96072 Andersen Oval, Piscataway, NJ 07010",7,4.0,5377,1981,Single Family
b6b32741-769a-4540-b582-42060f382748,d01bf7c0-99ac-4a48-91a5-116bfb81eeee,85a81f44-8bbc-4e6a-bf84-11183669447e,Jennifer Potter,"88595 Rocha Village Suite 529, Bridgewater, NJ 07914",1590642,1550196,2023-09-11,Normal,Standard transaction.,140274,146228,41532,616,"2648 John Meadows, Princeton, NJ 07669",5,4.5,4954,2019,Single Family
3e138c7a-8194-43cb-9a84-5ac575cb4fa6,ed175489-c5cc-4668-a7f2-470417fcb05a,51759880-cbba-4067-aa5c-b2e2bb257540,Aaron Moore,"985 Dakota Cliff, Plainsboro, NJ 08735",2122098,2089988,2020-10-18,Divorce,Sale resulting from divorce proceedings.,119095,126028,81381,677,"90729 Kelsey Run, Hopewell, NJ 08202",5,5.5,5392,1993,Townhouse
819c14c6-97ac-4400-a7ad-09e208a4efc8,b894529b-d0ad-4276-9a53-dbba8544488d,84115413-d8a1-4b8d-98a3-2a2fe90d75a7,Roy Foster,"11771 Hill Rue, Montgomery, NJ 07888",500000,520072,2024-04-18,Normal,Standard transaction.,139586,128877,95925,662,"87180 Rachel Ways Suite 680, Franklin Township, NJ 08373",5,3.5,3261,1975,Townhouse
c84550d5-2606-4fd2-bbdd-8e49a011073d,138feb4e-ef7b-4798-822b-e9e709d1c3d1,023b5bb1-1351-494b-9f8b-ea11375f56fe,Madison Lynch,"2854 Theresa Meadows, Hillsborough, NJ 08397",1089509,1037187,2025-03-28,Normal,Standard transaction.,101003,338080,29853,680,"62478 Matthew Estate Apt. 918, Plainsboro, NJ 08647",2,2.5,2270,1953,Multi-Family
cf5b095d-5314-47b1-b64e-05eedeb8e8cc,488d992b-efa6-4484-9fc0-15d5e4f18302,395b311d-be30-4b79-b558-1acd5179c03e,Alice Romero,"196 Spencer Freeway, Lawrenceville, NJ 08341",779580,625978,2021-02-20,Bankruptcy/Foreclosure,Sale managed through bankruptcy court or bank foreclosure process.,119828,464504,58534,793,"392 Alvarado Ways, Plainsboro, NJ 08256",6,4.0,3708,1952,Single Family
f7adc086-55d2-4489-8e37-657841ca3115,cbfbf390-c5a9-417d-8764-925dcda4ffe3,60868e25-5e81-4bec-b86a-39c233939525,Kayla Fisher,"8987 Smith Brook Apt. 406, East Brunswick, NJ 07736",1263212,1269172,2022-08-31,Downsizing,Seller downsizing after retirement/children moved out.,206362,950864,142743,703,"72616 Matthew Rapid Suite 205, Woodbridge, NJ 08967",4,5.5,4188,1944,Single Family
af111423-6385-40f4-8979-7a70f1fbd60d,16764917-ac4b-4f38-8784-72459237474a,7b6da41c-0165-43ce-813f-6de80a403ecc,Grant Daniel,"452 Hall Walks Suite 368, Edison, NJ 08175",2128282,2115289,2021-12-24,Normal,Standard transaction.,1103327,5779073,299429,820,"9317 Matthew Burgs, Hopewell, NJ 07600",4,4.5,2651,2011,Single Family
a370bdaa-3e54-4779-a357-c10d086a703f,3c760638-d1eb-414a-ad32-5b13b32ad204,f68b7c1a-8dfc-4006-a78c-d212038384eb,Kendra Barton,"64456 Melvin Brooks, Franklin Township, NJ 08318",1890250,1910482,2025-01-05,Normal,Standard transaction.,134963,518448,71179,546,"53668 Shari Manor Suite 047, Woodbridge, NJ 07972",3,5.0,4885,1969,Single Family
61c4f626-c625-4dc2-80e6-c2efd928514c,e75f1554-8847-4d5b-bd15-71900af5ce18,995f4eee-860f-4d1b-93e0-2fd5471747bd,Ann Romero,"7327 James Fall, West Windsor, NJ 08863",1228263,1313308,2024-11-19,Estate Sale,Property sold as part of an estate settlement.,90857,138630,49212,698,"1356 James Corners, Plainsboro, NJ 08060",4,4.0,3010,1943,Townhouse
340f6c2e-ddb9-4dd6-aeb2-4d15db57c29d,30e876b5-b84e-419a-a83d-69d8f0886dc9,8f91639b-372b-484a-92a6-3aa2a224a8b0,Mary Hardy,"1376 Hill Avenue Apt. 446, Hopewell, NJ 07326",691699,734644,2024-08-08,Normal,Standard transaction.,193947,906087,106813,797,"23140 Lester Wall Suite 154, West Windsor, NJ 08659",5,4.0,2854,1948,Single Family
04a3f13b-6fc6-4973-951e-e885d86e3097,e6673a39-3113-48ce-b63f-270bebe0b2ea,3c755563-713e-4ace-ac8b-98d4282a6b10,Justin Mason,"66256 John Station, Plainsboro, NJ 08922",914978,783158,2023-02-13,Job Loss,Forced sale due to unexpected job loss and financial hardship.,119295,221465,53514,812,"754 Nguyen Forest Apt. 210, East Brunswick, NJ 07221",6,4.0,5414,2008,Multi-Family
dd5a9fe0-0721-4c70-b4ce-121a95638e25,9920db51-f1f7-44e4-919c-da60dfaf01f7,5536a22f-c61e-409b-9623-b383630a6cdd,Kristine Martinez,"01565 Jackson Squares Suite 452, Plainsboro, NJ 07671",1381329,1471074,2024-04-11,Upsizing,Seller buying a larger home for growing family.,110357,156556,25218,757,"5700 Logan Via, Montgomery, NJ 07468",6,4.0,5866,1991,Single Family
f2829282-0b4e-407d-a2d8-45395078e7be,619216c6-e011-4e04-9359-37f767222468,510c53fc-e9ef-4b97-bafb-950e357c8109,Erin Jordan,"72573 Heather Fords, Woodbridge, NJ 07627",1748420,1709948,2020-08-07,Upsizing,Seller buying a larger home for growing family.,195346,1173657,88505,676,"40393 David Mountains Apt. 421, Franklin Township, NJ 08523",4,5.0,4390,1980,Single Family
e609501d-6c54-4840-b87b-8f8db0d31c65,453a4ad1-cfcb-4dfe-98aa-53edf88742dc,b8ce898f-1761-4c6a-aca0-18e02683809f,Brian Galloway,"04772 Wolfe Trafficway, Franklin Township, NJ 07465",1457164,1525358,2021-05-18,Normal,Standard transaction.,121086,341360,68901,638,"3134 Amanda Isle, Princeton, NJ 07520",7,5.5,6024,1980,Single Family
9566b3fe-5a59-41f1-9354-f525ff5510b1,4e3e845c-17e0-45a6-abc1-b98c9af58555,5d220ef5-30a0-4f5b-8011-3edd2f681e0b,Rachel Coleman,"5734 Zachary Spring, Hillsborough, NJ 07229",2073055,2175718,2021-03-26,Normal,Standard transaction.,105523,67246,55854,568,"872 Johnson Points, Edison, NJ 08040",5,3.5,4559,2018,Single Family
5bd54cb2-192a-413f-b564-94fde3bdd1b5,fd6fb876-24e6-4360-aaf5-3fd8acfa1712,78f0ab5d-094e-476a-a588-84883eea6ea3,Lorraine Ramirez,"70034 Rivera Heights, West Windsor, NJ 07618",1549462,1523125,2023-11-18,Downsizing,Seller downsizing after retirement/children moved out.,147584,353196,58630,516,"15394 Bell Fall Apt. 621, Montgomery, NJ 07805",5,3.0,4594,2024,Single Family
8e4af594-f9ce-485a-8bef-417546a806c3,c0814540-8447-40f5-b4f3-fabbedd5938a,5332f9db-6e39-4b8a-b6f5-afe2cb391e49,Eric Hudson,"10776 May Centers, Edison, NJ 07091",1262665,1318719,2025-02-11,Normal,Standard transaction.,227707,1341857,80791,728,"96684 Wanda Mission, Lawrenceville, NJ 07046",5,5.0,4246,1972,Condo
f49a3057-7f21-4da9-b714-108fafd30bbc,6bae1163-de78-4bda-9d4a-1c8b9abe0a00,ef0e161e-e0af-4e73-a2c6-ebe81bd8ac93,Steve Horne,"98323 Lozano Villages Suite 118, West Windsor, NJ 07191",2370215,2453682,2021-11-18,Normal,Standard transaction.,185965,1172321,44669,741,"78883 Caldwell Valleys Apt. 536, Piscataway, NJ 08615",7,6.0,6060,1992,Single Family
e30c9b7e-94d5-4a66-b833-7dc27be50bc4,676c6735-f6f0-4fdb-a066-6bc538cfaaa1,5975f46f-7e74-4dac-9165-d124795ff15c,Brian Cole,"76526 Gonzalez Keys, Franklin Township, NJ 07854",656041,704223,2024-02-18,Job Relocation,Seller relocated for a new job opportunity in South Andrewtown.,74954,74637,36930,565,"5533 Kristen Track, New Brunswick, NJ 07430",6,4.0,3624,1942,Single Family
55f02900-6b81-4332-bddb-c01b27d41141,b6ab0274-a58b-4769-9f2a-3ad404991a16,a9edbbd7-d2aa-49c9-ba29-b5b62db2b40e,Matthew Hernandez,"558 Hamilton Oval, West Windsor, NJ 08754",2388682,2285438,2021-04-06,Estate Sale,Property sold as part of an estate settlement.,113640,142707,46756,663,"8467 Michael Course Apt. 309, Bridgewater, NJ 07354",5,5.0,5272,1997,Single Family
d5a7a39c-281b-49a7-9622-690db88b6e8a,f57844ed-0c40-4dce-9ce3-66f8061f47e8,58a80de9-11de-4df8-8e2a-dd91b21133f0,Amy Green,"858 Ochoa Rest, Plainsboro, NJ 08207",2292070,2286010,2022-07-10,Normal,Standard transaction.,159576,37089,81720,775,"79733 Michelle Springs, Hillsborough, NJ 07159",4,6.0,5724,1993,Single Family
e540f250-f6d7-40ae-99da-34eb315a37f5,b02834ef-7fe8-4d1f-9ed6-f0ede8b143e9,07d85f2d-1fc9-4695-bac0-2b72426f5598,Sandra Green,"4401 Chapman Island Apt. 154, Bridgewater, NJ 08568",1125254,1102934,2022-01-02,Job Relocation,Seller relocated for a new job opportunity in West Bradfurt.,77346,160123,47728,696,"1688 Jones Passage Apt. 570, Lawrenceville, NJ 08655",5,3.5,3582,2025,Single Family
50d5a322-d12c-4f87-9970-14eaa0f1db33,99cbf5d2-aede-41ec-9ecb-884ea8eee33c,34df96b1-bfa0-45ca-bf74-214286d5d686,Toni Huynh,"26763 Anthony Views, Franklin Township, NJ 08761",2824219,3015466,2020-09-21,Normal,Standard transaction.,246152,746099,92617,752,"0627 Nicole Cape Suite 385, Montgomery, NJ 08380",6,4.5,5731,1955,Single Family
999d840b-a2e7-43b4-bb29-3de0ac76180e,06fccbc8-bfc4-47c8-8172-54acd583dbe2,a989e6c8-dea7-4ae0-a9d3-0814bddad38b,Elizabeth Reynolds,"2909 Amanda Lakes, Princeton, NJ 07919",592075,555932,2021-09-15,Normal,Standard transaction.,122321,82616,63093,601,"06839 Gonzales Walks, Hillsborough, NJ 08103",6,5.0,3870,1945,Single Family
