BuyerID,FullName,Address,SSN,PhoneNumber,Email,IncomeBracket,AnnualIncome,NetWorth,TotalDebt,CreditScore,DesiredPriceRange_Min,DesiredPriceRange_Max,PreApprovedAmount
a78eee35-7bd0-4053-89f5-75b69a2bfe6f,Jesse Gonzalez,"93049 Gardner Lake Apt. 701, Franklin Township, NJ 08405",284-68-3890,399.287.8216,mary73@example.org,Low,52499,75171,26145,677,450000.0,450000.0,340984
c59a9498-f39c-4a8c-ba96-d905a83e10b3,Martin Dunn MD,"164 Billy Trace, Plainsboro, NJ 07133",515-45-1852,001-878-693-7507x603,david93@example.com,Medium,138014,73760,75092,631,614221.0,1140697.0,862017
d6892e8e-a99a-4fe6-ae3c-17d26f7a0ef5,Gina Diaz,"5723 Natalie Course Suite 473, East Brunswick, NJ 08211",748-75-6576,323-273-2409,cassandraroberson@example.com,Medium,92364,131177,35393,696,450000.0,603808.0,710891
56d4e3cd-cd3e-4249-acb8-32106756f7ba,Deanna Romero,"924 Richard Way Suite 780, Plainsboro, NJ 08337",465-32-6968,+1-768-958-8777x20401,william79@example.org,High,255854,1557898,65561,669,716259.0,1330195.0,1454933
4bb94344-80a2-4d85-a627-7ce5cc047aef,Kristi Smith,"2829 Jennifer Canyon Suite 033, Princeton, NJ 07339",456-21-6726,001-232-752-2247x9016,rachaelkelley@example.com,Medium,122669,486509,29713,643,546548.0,1015017.0,889114
21c92ea3-550a-4666-b234-b7fa8ba29cb1,Zachary Mayo,"3302 Kathleen Run, South Brunswick, NJ 08237",144-07-3660,2412695324,andrewjones@example.org,Medium,147238,338076,83208,679,450000.0,764838.0,882337
14d8b088-8c55-4ca9-96c8-3aae05bbceea,Carol Walters,"968 Charles Highway Apt. 670, East Brunswick, NJ 07880",424-24-3266,+1-304-672-1321x930,sandra42@example.net,Low,61712,56786,62074,816,450000.0,450000.0,537228
a87c3f52-74a3-4fd9-9aa4-33cbc20e9038,Joel Olson,"65489 Allison Radial Suite 063, Edison, NJ 07351",680-46-0241,001-231-338-3852x49148,william61@example.net,High,287124,1820071,171506,743,1332743.0,2475095.0,1839771
f282fcdf-ee4b-4e33-826e-151ed5a8ec22,Sarah Roberson,"47906 Casey Forge, Hillsborough, NJ 08590",563-36-0964,+1-522-750-7120x1502,ashepard@example.net,Very High,1411692,10236544,611001,834,4000000.0,4400000.0,6000000
8e1bbecf-9a95-4aed-a0a0-314c966b79da,Erika Campos,"6060 Macias Dam Suite 559, Plainsboro, NJ 08909",355-02-5089,+1-769-233-9922,mdecker@example.org,High,217478,944117,112520,711,498600.0,925972.0,1616464
4502b3ad-138b-4d50-b706-01035960be9f,Karen Ramirez,"6244 Justin Canyon, South Brunswick, NJ 08231",693-53-5601,(368)484-1191x19649,dvega@example.net,High,296690,1920844,118223,747,1408771.0,2616289.0,2177008
f7d78519-c150-4272-910b-4fc56253f3bb,Regina Marshall,"7170 Sutton Knoll, Princeton, NJ 08134",028-11-5744,001-841-758-7564x7487,alexanderchristensen@example.net,High,246157,456909,123438,840,1159826.0,2153963.0,1957375
2017fe20-898d-4948-90d1-737f6a1c4732,Robert Thomas,"53316 Frances Station Suite 958, South Brunswick, NJ 07229",561-87-1154,001-493-314-6757,vmoreno@example.com,Medium,91580,279463,60811,710,450000.0,646910.0,520606
6f1bacdb-c3d3-4f4f-8a69-f7981cd83492,Daniel Hamilton,"9153 Michael Alley, Edison, NJ 08289",563-63-3784,865.540.9981,lewistiffany@example.net,Medium,147100,155491,101954,656,473742.0,879806.0,949331
f04e5338-d706-42f0-b763-992ad1a13b51,Robert Estrada,"77798 Steven Parkways Apt. 788, Lawrenceville, NJ 08827",432-62-3093,858-327-4762,alexjones@example.net,Low,43640,49002,40711,617,450000.0,450000.0,292984
87b65db6-2304-4adf-9f1f-633ab7546703,Wendy Morris,"6604 Mckinney Flats, Edison, NJ 08204",679-35-4764,001-271-843-7815x83142,rodriguezjonathan@example.com,High,179519,945012,93995,736,616497.0,1144923.0,1068717
480bf2c8-58d8-41ed-858c-bd90dfa75add,Katie Payne,"11067 Fitzpatrick Plaza Suite 652, East Brunswick, NJ 08032",123-73-6158,001-882-942-3996x63341,huntmatthew@example.org,Medium,148734,126764,114491,556,450000.0,794547.0,750956
c00831ae-ea91-45f0-b49e-4c268b8195b0,Jennifer Greer,"9727 Sydney Falls, Piscataway, NJ 07083",687-72-8428,5733145321,tyler18@example.com,Medium,98877,341458,26143,671,450000.0,450000.0,615138
bd6027d9-bf25-4254-8e59-6f86a5799dc8,Jessica Garcia,"03137 Walker Trail Apt. 674, South Brunswick, NJ 08722",418-76-6339,4873234155,iherman@example.net,High,281181,1368397,160196,682,1238006.0,2299155.0,2166493
d3275989-6b8d-4f9a-b268-71789d77d5b4,Matthew Rios,"55448 Duran Radial, South Brunswick, NJ 07686",139-89-4123,(641)826-8949,mberry@example.net,Low,77231,120624,47498,737,450000.0,551794.0,491436
9bed7e18-820f-4446-8f15-cdfca9958e0b,Joe Henderson,"211 Curtis Terrace Suite 367, Piscataway, NJ 08257",672-18-2457,(585)765-8655x60333,baxterluis@example.org,High,256859,948897,116035,746,714627.0,1327166.0,2092731
4055f366-b968-4c5e-9960-6d908ab31f13,Christopher Thomas,"219 Palmer Field, Montgomery, NJ 07110",310-51-2674,273-361-0874,xhowell@example.org,Medium,149992,292516,62499,763,620127.0,1151665.0,1173960
d48ebf81-14b6-40c9-9af8-6b8c76432300,Alexis Hendrix,"673 Jackson Plains Apt. 366, Edison, NJ 08462",189-94-7887,221.865.6697x389,richardfisher@example.org,Medium,87290,56321,28591,674,450000.0,450000.0,619668
fba2936b-d2c5-4fec-8908-d9ed6cc6d2e2,Lisa Meadows,"84475 Michael Pike Suite 993, East Brunswick, NJ 07042",204-80-1171,001-690-729-8383x61959,danielsjoseph@example.org,Medium,120446,354427,41275,679,554563.0,1029902.0,840350
093d8541-5b44-454a-a4bf-9d67e6f3a6b5,Jessica Perry,"10514 Curtis Brooks, Lawrenceville, NJ 08148",619-20-9509,706.241.5262,fwhitaker@example.org,Medium,130630,272335,85959,548,450000.0,510849.0,814337
e557ed85-b93a-4248-85b9-9d0c074ed087,Carrie Martin,"51038 Horn Ways Apt. 236, West Windsor, NJ 08059",450-15-7645,3027585514,ruizcory@example.org,Medium,128781,119666,62177,462,507363.0,942246.0,569247
7ce15352-d69f-4f4f-87a7-9c455afd3ab8,Michael Fisher,"4042 Williams Cliff, South Brunswick, NJ 07653",338-10-0079,2632836399,wthompson@example.com,High,151924,204353,80792,850,450000.0,641376.0,985443
ed64ffb0-500b-4dd2-a617-0344eeb92e4a,Tammy Adams,"93442 Jonathan Drive, Bridgewater, NJ 08685",749-46-2183,001-899-969-7905,ubeard@example.com,High,247018,1441013,86820,710,736546.0,1367871.0,1718049
9bff2e3d-f8d7-4707-9a20-ae38f5fa532f,Jason Ibarra,"1895 Jessica Ridges, Hillsborough, NJ 07431",315-19-7360,+1-252-560-6651x934,davidcharles@example.org,Medium,87528,130406,67893,657,450000.0,751160.0,575139
cf329508-6778-449b-9ced-4b22c71cab08,Natasha Rios,"1607 Kathryn Inlet, Montgomery, NJ 07825",160-25-8676,(809)638-7824x288,mhernandez@example.com,Medium,108339,74069,84847,831,450000.0,776637.0,884745
3efb6bf5-0a48-4d2d-9830-9f799d2fdabb,Dennis Ferguson,"43244 Erin Estate, Hillsborough, NJ 07231",429-90-3467,563.205.0993x58290,pricedominic@example.com,Medium,130170,188162,67332,675,450000.0,828488.0,1021879
fd1a4bf1-5951-435d-a07c-624213934a42,Cindy Mccoy,"65884 Ann Manor, Piscataway, NJ 07047",840-44-1510,2225961565,phillip76@example.net,Low,61893,26147,50484,649,450000.0,450000.0,405069
498d63a0-c404-4bea-a57e-ff7dc4d433b0,Michael Steele,"999 Evans Spurs Apt. 069, Hillsborough, NJ 08496",669-31-1319,+1-286-869-9526x11427,ruben88@example.net,Medium,82589,162590,85820,698,450000.0,669339.0,480250
2f153591-0b7d-4750-be65-7192c28fd840,Cindy White,"62674 Pamela Cliff, Princeton, NJ 08168",652-95-3565,874-780-3949,susanmorgan@example.org,Low,48340,50779,47219,632,450000.0,450000.0,295922
0fe07a35-2786-403b-bda4-88a1953b3810,John Mitchell,"1128 Cortez Highway, Plainsboro, NJ 08376",305-44-7997,548-392-1059,james75@example.org,High,293332,1044017,51123,675,646452.0,1200554.0,2066775
6ca5980b-87e8-443b-88f3-f89c10951ed2,Vanessa Scott,"76697 Andrea Brooks, South Brunswick, NJ 07780",352-35-1284,(949)801-3832x1922,aaronmiller@example.org,High,295857,1581117,88139,743,748961.0,1390928.0,2280746
1af4013e-b501-431a-92c8-6e2ac63a4112,Anthony Lane,"083 Miller Trail Suite 453, Bridgewater, NJ 07826",603-68-4850,631-630-1831,jim92@example.com,Medium,88426,231407,42716,712,450000.0,540597.0,632502
622a7a24-26e2-4637-b6e1-5e249efea6af,Eric Brown,"117 Robert Bridge, Woodbridge, NJ 07005",243-68-9216,289.276.7524,bdouglas@example.com,Medium,121153,154984,94682,734,450000.0,694728.0,825893
28c5e035-1e32-46f1-a1d1-48b28a34f8b6,Karen Carr,"4629 Andrew Cliff, Hillsborough, NJ 07429",170-96-0531,001-415-535-0755x889,michael08@example.org,Medium,100791,292165,90397,650,450000.0,673109.0,652679
f671a034-8e15-454a-9e14-e090cc790d90,David Duncan,"268 Carl Radial Suite 616, Woodbridge, NJ 08844",667-86-2797,001-886-961-2011x861,daniellehall@example.com,Medium,136631,137659,64912,707,608675.0,1130396.0,921274
63da7783-3c25-4854-bbad-250a2632e25b,Rebecca Wilson,"198 David Inlet, Bridgewater, NJ 07928",193-88-1697,+1-577-454-8510x43339,jessica66@example.net,High,177079,595686,117063,765,450000.0,824260.0,1414384
0d32f649-f5e1-43b0-8cd9-c49e677703d7,Nicholas Holder,"28976 Lamb Mount, Plainsboro, NJ 07649",604-96-3257,001-210-636-4311x703,owensmichelle@example.net,Medium,134588,394826,35270,796,659440.0,1224675.0,1140171
d27b3a3a-cabd-42aa-a4a2-81106cdfe3f8,Dennis Ford,"43861 White Club Suite 648, Woodbridge, NJ 08539",813-37-9928,513.290.5316x99163,petersonrobert@example.org,Medium,82905,158874,30299,720,450000.0,450000.0,662913
5803effe-c317-4741-9464-0847e8637e3a,Karen Hernandez,"96985 Robinson Crossing, Montgomery, NJ 07902",726-66-5025,607-430-2184x131,hnguyen@example.net,Low,51721,79764,26220,436,450000.0,465330.0,291012
5030bce1-6d1c-4690-a6a1-4297b04cc3ec,Kaitlyn Frank,"329 Justin Court, Woodbridge, NJ 08506",327-82-7455,001-638-518-1259,ralph50@example.com,Low,78925,157112,65029,532,450000.0,450000.0,459861
6c01ee3a-f717-49e0-95a4-53e6c44e0096,Deborah Miller,"1468 Clark Island, West Windsor, NJ 08270",004-93-3601,214.321.0462x89242,kristy60@example.org,Medium,116601,401892,93106,611,450000.0,708566.0,688983
9008a5b5-cf0b-4c12-a6b4-23813753ed3f,Matthew Floyd,"95647 Andrew Court Suite 157, New Brunswick, NJ 07356",136-20-1311,001-238-688-7236x891,rachael68@example.org,Medium,84083,71669,39762,632,450000.0,450000.0,491245
4e58eb13-7176-4cdd-b038-d24313ec8abc,Sean Mata,"235 Jose Forks, Lawrenceville, NJ 07157",842-92-8877,315-682-5155x11265,zjohnson@example.com,Low,41151,68142,34645,501,450000.0,450000.0,218884
39c8fcbe-f7c9-4eb2-aea6-4fe78864b4b7,Amanda Smith,"465 David Dam, New Brunswick, NJ 07666",729-34-4951,001-693-770-4145x101,jill59@example.net,Medium,114487,79527,36947,726,533487.0,990762.0,951283
f61fa89b-f5d5-4648-b20f-1c87e4c91447,Michael Brown,"51066 Jamie Camp, Hillsborough, NJ 07462",266-75-8389,(722)820-5187x484,cwalker@example.com,Medium,108783,265073,56362,674,450000.0,726311.0,789179
180ba28a-cc3a-4dda-9132-21f072a2aa84,Alejandro Bruce,"67119 Richard Field Suite 882, Hopewell, NJ 08856",662-17-1933,650-393-5492x97559,ashleelester@example.net,High,211226,1472354,69414,636,649939.0,1207029.0,1521228
4529b257-8d91-4827-a74d-d0287ca19068,Joshua Diaz,"065 Robert Ports, Hillsborough, NJ 07808",115-25-9972,+1-907-209-7547x913,bryantrenee@example.com,High,194086,598895,120902,798,939405.0,1744610.0,1615154
b2b97cdf-9430-4fa1-bc57-76124eb81460,Debra Moran,"86625 Laura Squares Apt. 600, Woodbridge, NJ 07712",774-59-8199,(973)524-7082,michael10@example.com,High,245550,1411762,45927,650,591173.0,1097893.0,1450171
9aa3fbe6-2d46-4ae9-974f-c636603c7277,George Smith,"638 Lori Parkways Suite 756, Montgomery, NJ 08004",177-31-2314,001-971-281-1508x41065,sandra59@example.net,High,222745,380078,58266,703,553591.0,1028098.0,1640762
