"TranscriptID","CallDateTime","BuyerID","BrokerName","MortgageBankerName","TranscriptText"
c965aebc-96b6-41a7-9f0b-b9c9f373782c,2025-04-26 15:40:47.461749,0fd1e7e1-4dc9-4d96-a306-1396b9f18051,Miranda Moreno,Michele Evans,"Miranda Moreno: Hi Thomas, this is Miranda Moreno calling to schedule a viewing for the house priced at $1,123,226 that you were interested in.   Thomas Robinson: Hi Miranda, yes, I’m available this Saturday afternoon; just to confirm, my full name is Thomas Robinson, and my address is 84199 Morris Plains Apt. 545, Hillsborough, NJ 07412.   Miranda Moreno: Perfect, Thomas. I have you down for Saturday at 2 PM, and as part of the process, please be ready to provide your SSN, which I have here as 691-71-7718, for the paperwork.   Thomas Robinson: Sounds good, Miranda. I’ll be ready with everything then."
b210b604-9c0d-4a85-b9f4-65bbcb63f6be,2023-08-20 03:44:08.656049,2b7eaad2-2334-448e-a5cb-4ae65b0542b0,Julia Brown,Angela Donovan,"Julia Brown: Hi Steven, this is Julia Brown following up on the property we toured yesterday.   Steven Adkins: Hi Julia, thanks for checking in. I’m Steven Adkins, and I’m definitely interested but want to confirm the next steps; do you need my SSN, 797-39-2185, and current address at 692 Virginia Junctions Apt. 940, Hopewell, NJ 08609 for the application?   Julia Brown: Yes, Steven, having your SSN and address will help us move forward with the pre-approval process smoothly.   Steven Adkins: Great, I’ll email that information over today. Thanks again, Julia!"
05c448b4-142f-4ec7-a017-8585200f018c,2024-05-04 23:11:58.401517,9a30081a-0e63-4e24-9fdf-a01f51fdf712,Felicia Lee,Dennis Dunn,"Felicia Lee: Hi Richard, this is Felicia Lee following up on the property we toured yesterday.   Richard Gomez: Hi Felicia, thanks for calling. I’m still very interested and wanted to confirm that my details are correct for the application: Richard Gomez, SSN 154-25-0936, and my address is 24151 Mueller Square Suite 668, Piscataway, NJ 08654.   Felicia Lee: Perfect, Richard. I’ll start preparing the paperwork and be in touch soon with the next steps."
75c5174a-7a31-4cce-a637-71c61973685f,2024-11-04 17:51:30.808123,f8f98190-a8a9-40e3-bb77-3ef126f9dec5,William Anderson,Cheryl Yang,"William Anderson: Hi Sara, to move forward with your mortgage underwriting, I'll need a few documents from you, including your recent pay stubs and bank statements.   Sara Howell: Sure, William, I can send those over. Just to confirm, you have my full name as Sara Howell, SSN 871-46-0601, and my address at 16133 Ryan Points, Edison, NJ 07670, right?   William Anderson: Yes, that’s correct. Once I receive those, we can get the process underway quickly."
7d02438c-e38c-4dfb-b940-193f02b45389,2024-08-22 17:00:26.003686,1e955302-2df1-4145-8d10-f7f62ef745bc,Nichole Bernard,Johnny Hancock,"Johnny Hancock: Hi Scott Harris, to move forward with your mortgage application, I'll need some documents like your recent pay stubs and bank statements.   Scott Harris: Sure, Johnny, I can get those to you. Just to confirm, my address is 01587 Hernandez Ranch Apt. 590, Edison, NJ 07460, and my SSN is 358-85-8466, right?   Johnny Hancock: That's correct, Scott. Once I have those documents, we can proceed with the underwriting process."
37f4dd72-19f6-42f0-b2c1-af54ef6e798d,2023-12-12 02:39:54.173873,dbc314c6-7737-40cb-8c06-d84ddd4cba57,Robin Craig,Theodore Perez,"Theodore Perez: Hi Sean, before we proceed, can you please confirm your full Social Security Number for the loan application?   Sean Grant: Sure, it’s 797-52-0720.   Theodore Perez: Great, and can you verify your current address as well?   Sean Grant: Yes, it’s 455 Mcknight Circle Apt. 712, Princeton, NJ 08197."
34271754-84c1-407b-8b32-38ee547d6a85,2024-02-11 15:57:53.549262,eb605e42-17b0-476b-8bb1-38202981cbd7,Scott Nguyen,Sean Scott,"Scott Nguyen: Hi Ashley, based on your income of $259,824, current mortgage rates for you would likely be around 3.5% fixed.   Ashley Thomas: That sounds reasonable, Scott. Just to confirm, my address is 0708 Wall Port Suite 749, Princeton, NJ 08146, and my SSN is 531-14-0050 for the pre-approval process.   Scott Nguyen: Perfect, Ashley, with that information, I can start the paperwork and get you the best possible rate."
43a34695-174d-43bb-8a31-6dc08bd358c4,2023-07-15 16:44:54.449386,e3884b2a-8611-45ee-94b8-30b580304d01,Alexander Graham,Dennis Dunn,"Alexander Graham: Good afternoon, Dr. Myers, based on your income of $127,433, current mortgage rates are quite favorable right now, around 3.5% for a 30-year fixed loan.   Louis Myers MD: That sounds promising, Alexander. Just to confirm, my details are Louis Myers MD, Social Security number 250-71-5344, and my address is 7975 Hess Points, Franklin Township, NJ 07041, correct?   Alexander Graham: Yes, that's correct, Louis. With that profile, you should qualify for some of the best rates available today."
413259c9-594f-4690-9ccf-b22dfa4444c9,2023-05-14 03:11:40.001019,464072b9-939f-441b-b7ba-2c59cd7eaffb,Alexander Graham,Kimberly Watts,"Kimberly Watts: Hi Crystal, thanks for reaching out. Based on your income of $48,135, current mortgage rates are hovering around 6.25% for a 30-year fixed loan.   Crystal Ortiz: Thanks, Kimberly. Just to confirm, my address is 3375 Brian Corner, Edison, NJ 08624, and my SSN is 108-68-1317, right?   Kimberly Watts: Yes, that's correct, Crystal. With those details, we can move forward with a pre-approval if you'd like."
3b0b136a-2eb6-4367-896e-a3ef03a07aea,2025-04-05 16:52:04.488283,80f2fd94-ad84-4bc0-8124-c586cdcef586,Philip Haynes,Steven Evans,"Philip Haynes: Hi James Raymond, based on your income of $56,171 and your address at 1424 Justin Loop Apt. 868, New Brunswick, NJ, I can offer you mortgage rates around 6.5% currently.   James Raymond: Thanks, Philip. Just to confirm, my SSN is 171-70-8760—is that what you needed to finalize the rate estimate?   Philip Haynes: Yes, James, that helps us run a quick credit check to lock in the best rate for you.   James Raymond: Great, I appreciate the quick info!"
