SaleID,HouseID,BuyerID,SellerFullName,SellerAddress,ListingPrice,SalePrice,SaleDate,SaleCategory,SaleDetails,Buyer_AnnualIncome,Buyer_NetWorth,Buyer_TotalDebt,Buyer_CreditScore,House_Address,House_Bedrooms,House_Bathrooms,House_SquareFootage,House_YearBuilt,House_PropertyType
31a4b65a-dfa1-4f29-ae22-0c082e5070e6,e8a15cc0-ae28-4ee7-a436-8c13b0ae4948,c1206aa8-7991-4ff1-9c64-8c8c165826bf,Brian Christensen,"75627 Micheal Groves, Woodbridge, NJ 07089",1658266,1596812,2023-05-07,Normal,Standard transaction.,228326,1244831,147890,702,"3959 Ashley Village, Montgomery, NJ 07317",5,4.5,4482,2016,Single Family
0d72c875-922e-4a2b-9ea7-98bc2e7254f0,7f2362d3-41d4-42c9-bbfe-d48f233b44a8,ac36acd2-c6d8-4c48-89ac-4d80af9da158,Veronica Holmes,"13658 Cooper Summit Suite 308, Montgomery, NJ 08924",1734526,1620621,2023-01-13,Normal,Standard transaction.,137784,549338,76540,690,"644 Oliver Brook, West Windsor, NJ 07529",6,4.5,5522,2015,Single Family
a6629385-f796-46fe-9f57-48d721ac3533,974d93a7-751f-4ace-ae3d-53cc3258f440,ac3499f5-2e96-4333-bff5-f72031d2a403,Deborah Smith,"3632 Johnson Road, Hopewell, NJ 08131",999092,1049371,2022-03-04,Normal,Standard transaction.,137230,226533,70811,723,"22068 Danielle Street Suite 083, West Windsor, NJ 08708",5,4.5,3874,1993,Single Family
2f39c148-007c-4ce6-8fe4-2a7f9b5a3156,da91f6a9-0bf2-4ec8-9ef6-572994a518c4,ed911fd7-2642-412f-93a9-c609fcc920df,Courtney Armstrong,"397 Klein Wells, Piscataway, NJ 07203",1698622,1658207,2020-05-25,Normal,Standard transaction.,93932,151171,75024,674,"14022 Coffey Place Suite 440, Hopewell, NJ 08569",7,4.0,6435,2012,Single Family
0550868b-b0ad-49c1-a95b-8f82d77dd208,34701bf3-9abd-4db2-99dc-365b756adb3c,face0e40-4d88-4ee3-8335-b335cb19b885,Debra Green,"826 Conrad Views Suite 972, Hopewell, NJ 07353",3894709,3662492,2021-07-20,Downsizing,Seller downsizing after retirement/children moved out.,852909,8180586,303332,705,"0834 Stacey Shoals Apt. 823, New Brunswick, NJ 08214",3,6.0,5290,1958,Townhouse
9eb8f63b-51e3-4406-a94f-022518f3fb05,25d85505-c34e-418c-a542-43ef094db1ba,51aef228-af00-4955-ad3b-a422e63d9b35,Amanda Mendez,"272 Carr Circle, Princeton, NJ 08468",1972054,2100318,2020-11-06,Normal,Standard transaction.,79747,28907,78495,374,"31385 Oscar Brooks, Edison, NJ 08400",5,6.0,5562,1972,Single Family
98de1c8f-57f9-4f8c-acb2-8d1b180d9ff2,3e44fdb5-fb90-4f84-ac03-2d0fe10094d1,30e66a72-2c97-4ea7-8c86-50058bd4b73f,Marie Dixon,"45598 Brown Hill Apt. 981, New Brunswick, NJ 08857",1443572,1350536,2023-08-05,Normal,Standard transaction.,147962,188686,51552,608,"81737 Wells Estates Suite 629, Woodbridge, NJ 08574",2,5.0,3410,2002,Townhouse
846a9ebe-dac6-448e-adf3-054eb2802547,1b96635d-bab8-4fb1-99d3-facc35d67767,0f649275-d623-4661-8fbc-b90fb38ab2dd,Christina Lambert,"5252 Smith Mountains Suite 784, Piscataway, NJ 07546",2173015,2216737,2024-10-08,Normal,Standard transaction.,152124,750834,39538,754,"7666 Katrina Road, Edison, NJ 07908",4,3.5,4994,2002,Single Family
c833c052-eaf8-4770-a025-b69d8782768b,edaf28cb-f447-4fa6-8314-0dbfd91a2e10,83da71b6-89dd-4541-9710-5f077207bc48,Scott Knight DDS,"266 Davis Forge Apt. 279, Hopewell, NJ 07756",1211687,1266843,2021-09-11,Downsizing,Seller downsizing after retirement/children moved out.,58861,67714,23767,577,"3020 Daniel Turnpike, Woodbridge, NJ 07746",5,6.0,4584,2016,Multi-Family
60dde01a-7a27-4557-ab80-a5b03ee270db,42a154ed-fd86-420e-b2e8-0d4bbd295bb2,bfe3f081-e702-4b8c-ade0-a97764098cfa,Cassandra Lambert,"7586 Joyce Village Apt. 635, Lawrenceville, NJ 08763",1445077,1523180,2021-01-06,Job Relocation,Seller relocated for a new job opportunity in Randallport.,124532,361066,51668,669,"50762 Gamble Glen, South Brunswick, NJ 08391",6,5.5,5024,1956,Townhouse
e90e0829-6ec3-456a-a8a2-446674916a33,de37f18f-d0be-4618-9631-8e72c5f31546,543220bd-b678-4380-97f3-0331884167b9,Michele Martinez,"036 Philip Loop Apt. 172, East Brunswick, NJ 08293",2052363,2097827,2023-12-27,Estate Sale,Property sold as part of an estate settlement.,106697,385296,43298,850,"344 Sean Highway Suite 601, Plainsboro, NJ 08440",4,6.0,5479,2007,Single Family
